Delta,Type,value
0.38974871794871796,CART,0.9855035756853396
0.4102612820512821,CART,0.9863379022646008
0.4307738461538462,CART,0.9875000000000002
0.4512864102564103,CART,0.9881257449344456
0.4717989743589744,CART,0.9888185339690108
0.49231153846153847,CART,0.9891612038140645
0.5128241025641025,CART,0.9894964243146603
0.5333366666666667,CART,0.9903828963051252
0.5538492307692308,CART,0.9908894517282476
0.5743617948717948,CART,0.991477949940405
0.5948743589743589,CART,0.9933998808104885
0.6153869230769231,CART,0.9957017282479141
0.6358994871794872,CART,0.9962008343265791
0.6564120512820513,CART,0.9964764600715137
0.6769246153846153,CART,0.9969159713945175
0.6974371794871794,CART,0.997541716328963
0.7179497435897436,CART,0.9978098927294401
0.7384623076923077,CART,0.9978918355184744
0.7589748717948718,CART,0.9979886769964246
0.7794874358974359,CART,0.9980482717520861
0.8,CART,0.998167461263409
1e-05,AD-CART,1.4548745886886342e-05
0.020522564102564103,AD-CART,0.7901246144483756
0.04103512820512821,AD-CART,0.8822527641306823
0.06154769230769231,AD-CART,0.9122718861679389
0.08206025641025641,AD-CART,0.9277466190048033
0.10257282051282052,AD-CART,0.9371723042201239
0.12308538461538461,AD-CART,0.9439666048675871
0.14359794871794873,AD-CART,0.9500733622915772
0.16411051282051284,AD-CART,0.9541929931033006
0.18462307692307695,AD-CART,0.9582337666383646
0.20513564102564105,AD-CART,0.9624270689563437
0.22564820512820516,AD-CART,0.9660927888026908
0.24616076923076924,AD-CART,0.9696710010263546
0.2666733333333334,AD-CART,0.9722132270097441
0.28718589743589745,AD-CART,0.9742233507719374
0.3076984615384616,AD-CART,0.9761148811020428
0.32821102564102567,AD-CART,0.9772471036404099
0.34872358974358975,AD-CART,0.97845353637806
0.3692361538461539,AD-CART,0.9797255883242624
0.38974871794871796,AD-CART,0.9807345014786566
0.4102612820512821,AD-CART,0.9815750608444436
0.4307738461538462,AD-CART,0.9827586195878315
0.4512864102564103,AD-CART,0.9833866055470682
0.4717989743589744,AD-CART,0.9854394013365096
0.49231153846153847,AD-CART,0.9857974495808035
0.5128241025641025,AD-CART,0.9863149538308423
0.5333366666666667,AD-CART,0.9885540249802313
0.5538492307692308,AD-CART,0.9894805696777282
0.5743617948717948,AD-CART,0.9905964896714018
0.5948743589743589,AD-CART,0.9928027536483757
0.6153869230769231,AD-CART,0.9951777217165312
0.6358994871794872,AD-CART,0.9957770141164023
0.6564120512820513,AD-CART,0.9961783777753179
0.6769246153846153,AD-CART,0.99663901093475
0.6974371794871794,AD-CART,0.9972892203651706
0.7179497435897436,AD-CART,0.9975815346817359
0.7384623076923077,AD-CART,0.9976617096887359
0.7589748717948718,AD-CART,0.9977640577342953
0.7794874358974359,AD-CART,0.9978223885966955
0.8,AD-CART,0.9979392500796352
1e-05,MOSTLY.AI,2.234803337306317e-05
0.020522564102564103,MOSTLY.AI,0.6521826579261026
0.04103512820512821,MOSTLY.AI,0.7625074493444577
0.06154769230769231,MOSTLY.AI,0.810637663885578
0.08206025641025641,MOSTLY.AI,0.8404424910607865
0.10257282051282052,MOSTLY.AI,0.8635056615017879
0.12308538461538461,MOSTLY.AI,0.8816522646007151
0.14359794871794873,MOSTLY.AI,0.8953069129916568
0.16411051282051284,MOSTLY.AI,0.9057434445768772
0.18462307692307695,MOSTLY.AI,0.9151370679380214
0.20513564102564105,MOSTLY.AI,0.9224895709177593
0.22564820512820516,MOSTLY.AI,0.9289183551847435
0.24616076923076924,MOSTLY.AI,0.9348256853396901
0.2666733333333334,MOSTLY.AI,0.9409713945172824
0.28718589743589745,MOSTLY.AI,0.9454186531585222
0.3076984615384616,MOSTLY.AI,0.9492997616209774
0.32821102564102567,MOSTLY.AI,0.952644517282479
0.34872358974358975,MOSTLY.AI,0.9556540524433853
